module	stringVA	funcEntry	refs
maphdr	0x0050292C	0x004CD7A0	6
maphdr	0x0050292C	0x004EE8C0	1
mask	0x00504534	0x00480350	4
mask	0x00504534	0x00480960	4
minimap	0x005040B8	0x004A3720	2
minimap	0x005040B8	0x004A4A20	1
minimap	0x005040B8	0x004A5A80	2
minimap	0x005040B8	0x004A5D10	1
minimap	0x005040B8	0x004C3780	1
minimap	0x005040B8	0x004EE210	1
modeless	0x005043C8	0x004F57A0	1
net_chat_cmds	0x0050467C	0x00452320	1
net_chat_cmds	0x0050467C	0x00452370	1
net_chat_cmds	0x0050467C	0x00452460	1
net_chat_cmds	0x0050467C	0x00452720	1
net_chat_cmds	0x0050467C	0x00470840	1
net_chat_cmds	0x0050467C	0x00470DB0	1
net_chat_cmds	0x0050467C	0x00470DF0	1
net_chat_cmds	0x0050467C	0x00470EA0	1
net_chat_cmds	0x0050467C	0x00470EF0	1
net_chat_cmds	0x0050467C	0x00470F90	1
net_chat_cmds	0x0050467C	0x00471010	1
net_chat_cmds	0x0050467C	0x004710B0	12
net_chat_cmds	0x0050467C	0x00471270	1
net_chat_cmds	0x0050467C	0x00471A50	12
net_chat_cmds	0x0050467C	0x00471FB0	2
net_chat_cmds	0x0050467C	0x004D32E0	1
net_error	0x00502D38	0x004BB1A0	2
net_error	0x00502D38	0x004BB4B0	2
net_glue	0x0050221C	0x004D3B50	2
net_glue	0x0050221C	0x004D3CC0	2
net_glue	0x0050221C	0x004D3FC0	1
net_mgr	0x005043A8	0x00485AA0	1
net_mgr	0x005043A8	0x00485BD0	1
net_misc	0x00502A38	0x004C40F0	1
net_misc	0x00502A38	0x004C4160	1
net_misc	0x00502A38	0x004C46E0	2
net_misc	0x00502A38	0x004C4790	2
net_record	0x0050286C	0x004CDD30	2
net_record	0x0050286C	0x004CDF50	1
net_record	0x0050286C	0x004CE280	1
okcancel	0x00502AD8	0x004F59E0	1
okcancel	0x00502AD8	0x004F5C50	1
okcancel	0x00502AD8	0x004F5D70	2
okcancel	0x00502AD8	0x004F5EE0	2
okcancel	0x00502AD8	0x004F6050	1
opt_dlgs	0x00502A04	0x00460D60	1
opt_dlgs	0x00502A04	0x0047E7B0	1
opt_dlgs	0x00502A04	0x00480E70	1
opt_dlgs	0x00502A04	0x00481E80	1
opt_dlgs	0x00502A04	0x004C93A0	1
opt_dlgs	0x00502A04	0x004C9C40	2
opt_dlgs	0x00502A04	0x004C9CC0	1
opt_dlgs	0x00502A04	0x004E89C0	1
placebox	0x005042E4	0x0048D560	1
placebox	0x005042E4	0x0048DAF0	1
placebox	0x005042E4	0x004EE8C0	1
replay	0x00501694	0x004AF6D0	1
replay	0x00501694	0x004B86C0	1
replay	0x00501694	0x004B9E70	1
replay	0x00501694	0x004DE7A0	1
replay	0x00501694	0x004DED30	1
replay	0x00501694	0x004DF570	3
replay	0x00501694	0x004DFAB0	1
replay	0x00501694	0x004DFFC0	1
replay	0x00501694	0x004EE8C0	1
repulse	0x00504D1C	0x004BD190	1
repulse	0x00504D1C	0x004BD6F0	1
SAI_Banker	0x0050560C	0x00447E20	3
sai_ContoursCreate	0x005056A4	0x0042B620	1
sai_ContoursCreate	0x005056A4	0x0042B8A0	8
sai_ContoursCreate	0x005056A4	0x0042B9F0	8
sai_ContoursCreate	0x005056A4	0x0042BBD0	4
sai_ContoursCreate	0x005056A4	0x0042BC30	2
sai_ContoursCreate	0x005056A4	0x0042C060	5
sai_ContoursCreate	0x005056A4	0x0042C5C0	1
sai_LoadSave	0x005046CC	0x0046EA70	5
Sai_path	0x00505654	0x0042F4F0	1
Sai_path	0x00505654	0x004EE210	1
Sai_path	0x00505654	0x004EE8C0	1
sai_PathCreate	0x005044B8	0x0046EA70	1
sai_PathCreate	0x005044B8	0x00483DD0	2
sai_PathCreate	0x005044B8	0x00483E30	1
sai_PathCreate	0x005044B8	0x00484290	1
sai_PathCreate	0x005044B8	0x004EE8C0	2
SAI_Scripts	0x00504964	0x004EE8C0	2
saveload	0x00502700	0x004C2910	2
saveload	0x00502700	0x004CFEF0	6
saveload	0x00502700	0x004D02D0	2
scroll	0x005045D8	0x004BD190	1
snd	0x00502D0C	0x004BC620	2
snd	0x00502D0C	0x004BC8C0	2
snd	0x00502D0C	0x004DB060	1
statcmd	0x00504A6C	0x00458CF0	2
statcmd	0x00504A6C	0x004596A0	2
statcmd	0x00504A6C	0x00459B90	3
statdata	0x00504BD0	0x00456EF0	2
statdata	0x00504BD0	0x00457CA0	1
statdata	0x00504BD0	0x00458050	2
statdata	0x00504BD0	0x00458570	3
statfluf	0x00504C94	0x004F4DC0	1
StatLB	0x00502B30	0x004BED70	1
statmisc	0x00504C58	0x004F5300	1
statport	0x005048F4	0x0045E710	1
statport	0x005048F4	0x0045F0B0	1
statport	0x005048F4	0x0045F320	1
statres	0x00504CD8	0x004C3780	1
statres	0x00504CD8	0x004E5990	2
status	0x00502A88	0x004C35F0	1
status	0x00502A88	0x004C3780	1
status	0x00502A88	0x004C3BB0	1
statwire	0x00504C20	0x00456A90	1
statwire	0x00504C20	0x004C3780	1
TAI_Captain	0x00505630	0x00436A40	1
TAI_Captain	0x00505630	0x00436A80	1
TAI_Captain	0x00505630	0x00437A70	2
Teams	0x005043EC	0x00485710	1
textbox	0x005049C4	0x004F37C0	1
tips	0x0050461C	0x0047E630	1
title	0x00501FE8	0x004D46F0	2
title	0x00501FE8	0x004D49A0	1
uiMulti	0x00504DEC	0x00452460	2
uiMulti	0x00504DEC	0x00452900	1
uiSingle	0x005018D8	0x004DBFC0	1
uiSingle	0x005018D8	0x004DC1C0	1
victory	0x0050435C	0x004897E0	3
victory	0x0050435C	0x004899D0	2
