field	addr	function	funcEntry	mnemonic	opIndex	baseReg	access	text
0xC8	0x004CD325	FUN_004cd260	0x004CD260	MOV	0	EAX	w	MOV dword ptr [EAX + 0xc8],ESI
0xC8	0x004CD32B	FUN_004cd260	0x004CD260	MOV	1	EDI	r	MOV AL,byte ptr [EDI + 0xc8]
0xC8	0x004CD339	FUN_004cd260	0x004CD260	MOV	0	EDI	w	MOV byte ptr [EDI + 0xc8],AL
0xC8	0x004D1048			MOV	1	ESI	r	MOV EAX,dword ptr [ESI + 0xc8]
0xC8	0x004E2FF2	FUN_004e2e20	0x004E2E20	MOV	1	ESI	r	MOV EAX,dword ptr [ESI + 0xc8]
0xC8	0x004E3011	FUN_004e2e20	0x004E2E20	MOV	0	ESI	w	MOV dword ptr [ESI + 0xc8],EAX
0xC8	0x004E30CF	FUN_004e2e20	0x004E2E20	MOV	1	ESI	r	MOV EAX,dword ptr [ESI + 0xc8]
0xC8	0x004E30EE	FUN_004e2e20	0x004E2E20	MOV	0	ESI	w	MOV dword ptr [ESI + 0xc8],EAX
0xC8	0x004E3689	FUN_004e3410	0x004E3410	MOV	1	ESI	r	MOV EDI,dword ptr [ESI + 0xc8]
0xC8	0x004E36CE	FUN_004e3410	0x004E3410	MOV	0	ESI	w	MOV dword ptr [ESI + 0xc8],EAX
0xC8	0x004E3816	FUN_004e3410	0x004E3410	MOV	1	ESI	r	MOV EDI,dword ptr [ESI + 0xc8]
0xC8	0x004E385B	FUN_004e3410	0x004E3410	MOV	0	ESI	w	MOV dword ptr [ESI + 0xc8],EAX
0xC8	0x004F657E	FUN_004f6420	0x004F6420	MOVZX	1	EDI	r	MOVZX EAX,byte ptr [EDI + 0xc8]
0xC8	0x004F65B7	FUN_004f65b0	0x004F65B0	MOVZX	1	EAX	r	MOVZX ECX,byte ptr [EAX + 0xc8]
0xC8	0x004F65F9	FUN_004f65b0	0x004F65B0	MOV	0	EDI	w	MOV dword ptr [EDI + 0xc8],0x0
0xC8	0x004F660D	FUN_004f65b0	0x004F65B0	MOV	0	EAX	w	MOV dword ptr [EAX + 0xc8],EDI
0xC8	0x004F6613	FUN_004f65b0	0x004F65B0	MOV	1	ESI	r	MOV AL,byte ptr [ESI + 0xc8]
0xC8	0x004F6621	FUN_004f65b0	0x004F65B0	MOV	0	ESI	w	MOV byte ptr [ESI + 0xc8],AL
0xC8	0x004F667D	FUN_004f65b0	0x004F65B0	MOV	0	EDI	w	MOV dword ptr [EDI + 0xc8],0x0
0xC8	0x004F6691	FUN_004f65b0	0x004F65B0	MOV	0	EAX	w	MOV dword ptr [EAX + 0xc8],EDI
0xC8	0x004F6697	FUN_004f65b0	0x004F65B0	MOV	1	ESI	r	MOV AL,byte ptr [ESI + 0xc8]
0xC8	0x004F66A5	FUN_004f65b0	0x004F65B0	MOV	0	ESI	w	MOV byte ptr [ESI + 0xc8],AL
0xC9	0x0042479F	FUN_00424780	0x00424780	MOV	1	ESI	r	MOV AL,byte ptr [ESI + 0xc9]
0xC9	0x0042490A	FUN_004248f0	0x004248F0	MOV	1	EAX	r	MOV CL,byte ptr [EAX + 0xc9]
0xC9	0x00425400	FUN_004253d0	0x004253D0	MOV	1	EDX	r	MOV CL,byte ptr [EDX + 0xc9]
0xC9	0x00425C0E	FUN_00425b50	0x00425B50	CMP	0	ESI	r	CMP byte ptr [ESI + 0xc9],0x3d
0xC9	0x00426553	FUN_00426500	0x00426500	MOV	1	ESI	r	MOV BL,byte ptr [ESI + 0xc9]
0xC9	0x004265C6	FUN_00426500	0x00426500	MOVZX	1	ECX	r	MOVZX EDX,byte ptr [ECX + 0xc9]
0xC9	0x004265DF	FUN_00426500	0x00426500	MOVZX	1	ECX	r	MOVZX CX,byte ptr [ECX + 0xc9]
0xC9	0x004287F4	FUN_004287d0	0x004287D0	CMP	0	ESI	r	CMP byte ptr [ESI + 0xc9],0x3d
0xC9	0x00428906	FUN_00428900	0x00428900	MOV	1	ECX	r	MOV DL,byte ptr [ECX + 0xc9]
0xC9	0x004325F1	FUN_004325a0	0x004325A0	MOVZX	1	ECX	r	MOVZX EDX,byte ptr [ECX + 0xc9]
0xC9	0x0043E469	FUN_0043e400	0x0043E400	MOV	1	ESI	r	MOV AL,byte ptr [ESI + 0xc9]
0xC9	0x0043F6F5	FUN_0043f320	0x0043F320	MOV	1	EBX	r	MOV AL,byte ptr [EBX + 0xc9]
0xC9	0x00454220	FUN_00454220	0x00454220	MOV	1	ESI	r	MOV CL,byte ptr [ESI + 0xc9]
0xC9	0x00454236	FUN_00454220	0x00454220	MOVZX	1	ESI	r	MOVZX ECX,byte ptr [ESI + 0xc9]
0xC9	0x00454268	FUN_00454220	0x00454220	MOV	0	ESI	w	MOV byte ptr [ESI + 0xc9],0x3d
0xC9	0x00454291	FUN_00454280	0x00454280	MOV	1	ESI	r	MOV AL,byte ptr [ESI + 0xc9]
0xC9	0x004542A6	FUN_00454280	0x00454280	MOVZX	1	ESI	r	MOVZX ECX,byte ptr [ESI + 0xc9]
0xC9	0x004542D9	FUN_00454280	0x00454280	MOV	0	ESI	w	MOV byte ptr [ESI + 0xc9],0x3d
0xC9	0x004546BB	FUN_004546a0	0x004546A0	MOV	1	ESI	r	MOV CL,byte ptr [ESI + 0xc9]
0xC9	0x00454722	FUN_004546a0	0x004546A0	MOV	1	ESI	r	MOV CL,byte ptr [ESI + 0xc9]
0xC9	0x00454773	FUN_004546a0	0x004546A0	MOV	1	ESI	r	MOV AL,byte ptr [ESI + 0xc9]
0xC9	0x004547C3	FUN_004546a0	0x004546A0	MOVZX	1	ESI	r	MOVZX ECX,byte ptr [ESI + 0xc9]
0xC9	0x004547F9	FUN_004546a0	0x004546A0	MOV	0	ESI	w	MOV byte ptr [ESI + 0xc9],0x3d
0xC9	0x00454AA8	FUN_00454a80	0x00454A80	MOV	0	ESI	w	MOV byte ptr [ESI + 0xc9],BL
0xC9	0x0046522D	FUN_00465200	0x00465200	MOV	1	EDI	r	MOV BL,byte ptr [EDI + 0xc9]
0xC9	0x004652FD	FUN_004652a0	0x004652A0	DEC	0	ECX	rw	DEC byte ptr [ECX + 0xc9]
0xC9	0x00465B8C	FUN_00465a60	0x00465A60	MOVZX	1	ESI	r	MOVZX EDX,byte ptr [ESI + 0xc9]
0xC9	0x004661B1	FUN_00466170	0x00466170	CMP	0	ESI	r	CMP byte ptr [ESI + 0xc9],BL
0xC9	0x0046624B	FUN_00466170	0x00466170	MOV	1	ESI	r	MOV DL,byte ptr [ESI + 0xc9]
0xC9	0x00466257	FUN_00466170	0x00466170	MOV	0	ESI	w	MOV byte ptr [ESI + 0xc9],DL
0xC9	0x004662AB	FUN_00466270	0x00466270	DEC	0	ECX	rw	DEC byte ptr [ECX + 0xc9]
0xC9	0x00466591	FUN_00466440	0x00466440	MOV	1	ESI	r	MOV AL,byte ptr [ESI + 0xc9]
0xC9	0x0046659C	FUN_00466440	0x00466440	MOV	0	ESI	w	MOV byte ptr [ESI + 0xc9],AL
0xC9	0x0046D7BA	FUN_0046d610	0x0046D610	CMP	0	ESI	r	CMP byte ptr [ESI + 0xc9],0x3d
0xC9	0x0046E3B2	FUN_0046e1c0	0x0046E1C0	CMP	0	ESI	r	CMP byte ptr [ESI + 0xc9],0x3d
0xC9	0x0046E411	FUN_0046e1c0	0x0046E1C0	CMP	0	ESI	r	CMP byte ptr [ESI + 0xc9],0x3d
0xC9	0x0046E450	FUN_0046e1c0	0x0046E1C0	MOV	1	ESI	r	MOV CL,byte ptr [ESI + 0xc9]
0xC9	0x004761C1	FUN_00476180	0x00476180	MOV	1	ECX	r	MOV BL,byte ptr [ECX + 0xc9]
0xC9	0x0047CA66	FUN_0047c9f0	0x0047C9F0	CMP	0	EDI	r	CMP byte ptr [EDI + 0xc9],0x3d
0xC9	0x00493892	FUN_00493790	0x00493790	CMP	0	ESI	r	CMP byte ptr [ESI + 0xc9],0x3d
0xC9	0x0049E861	FUN_0049e790	0x0049E790	CMP	0	EAX	r	CMP byte ptr [EAX + 0xc9],0x2e
0xC9	0x0049E86A	FUN_0049e790	0x0049E790	MOV	0	EAX	w	MOV byte ptr [EAX + 0xc9],DL
0xC9	0x0049EED7	FUN_0049ecf0	0x0049ECF0	MOV	0	EDI	w	MOV byte ptr [EDI + 0xc9],0x3d
0xC9	0x0049FD50	FUN_0049fd00	0x0049FD00	CMP	0	ESI	r	CMP byte ptr [ESI + 0xc9],0x3d
0xC9	0x004C1663	FUN_004c1620	0x004C1620	CMP	0	ESI	r	CMP byte ptr [ESI + 0xc9],0x3d
0xC9	0x004E2F72	FUN_004e2e20	0x004E2E20	MOV	1	ESI	r	MOV AL,byte ptr [ESI + 0xc9]
0xC9	0x004F6646	FUN_004f65b0	0x004F65B0	MOVZX	1	EAX	r	MOVZX EAX,byte ptr [EAX + 0xc9]
0xCD	0x00454276	FUN_00454220	0x00454220	MOV	0	ESI	w	MOV byte ptr [ESI + 0xcd],AL
0xCD	0x004542E9	FUN_00454280	0x00454280	MOV	0	ESI	w	MOV byte ptr [ESI + 0xcd],0x0
0xCD	0x00454709	FUN_004546a0	0x004546A0	CMP	1	ESI	r	CMP AL,byte ptr [ESI + 0xcd]
0xCD	0x00454751	FUN_004546a0	0x004546A0	CMP	1	ESI	r	CMP AL,byte ptr [ESI + 0xcd]
0xCD	0x00454764	FUN_004546a0	0x004546A0	MOV	1	ESI	r	MOV DL,byte ptr [ESI + 0xcd]
0xCD	0x00454800	FUN_004546a0	0x004546A0	MOV	0	ESI	w	MOV byte ptr [ESI + 0xcd],0x0
0xCD	0x00454AE8	FUN_00454a80	0x00454A80	MOV	0	ESI	w	MOV byte ptr [ESI + 0xcd],AL
0xCD	0x004E2F7C	FUN_004e2e20	0x004E2E20	MOV	1	ESI	r	MOV CL,byte ptr [ESI + 0xcd]
0xCD	0x004E2FB2	FUN_004e2e20	0x004E2E20	MOV	0	ESI	w	MOV byte ptr [ESI + 0xcd],AL
